OrderID,CustomerNum,CoffeeID,OrderDate,OrderAmountKg
20180165,652,32,4/10/2018,8
20180166,750,2,4/11/2018,9.5
20180167,783,2,4/11/2018,7.5
20180168,646,35,4/12/2018,5.5
20180169,779,4,4/12/2018,2
20180170,635,17,4/13/2018,6.5
20180171,515,20,4/14/2018,3.5
20180172,742,3,4/14/2018,1.5
20180173,742,20,4/15/2018,6
20180174,742,30,4/15/2018,5
20180175,646,31,4/16/2018,6
20180176,741,25,4/17/2018,6.5
20180177,597,40,4/17/2018,6
20180178,650,39,4/18/2018,3
20180179,515,16,4/18/2018,1.5
20180180,783,10,4/19/2018,9.5
20180181,650,36,4/20/2018,1.5
20180182,635,15,4/20/2018,3
20180183,726,19,4/21/2018,5
20180184,726,39,4/21/2018,3
20180185,741,23,4/22/2018,7
20180186,741,28,4/23/2018,2
20180187,635,19,4/23/2018,5.5
20180188,202,1,4/24/2018,3
20180189,750,20,4/24/2018,4.5
20180190,783,6,4/25/2018,7.5
20180191,750,22,4/26/2018,8.5
20180192,779,24,4/26/2018,5
20180193,625,11,4/27/2018,0.5
20180194,123,13,4/27/2018,8.5
20180195,133,13,4/28/2018,1
20180196,627,7,4/29/2018,2
20180197,741,34,4/29/2018,4
20180198,202,2,4/30/2018,9.5
20180199,646,15,4/30/2018,0.5
20180200,128,34,5/1/2018,0.5
20180201,625,11,5/2/2018,1
20180202,687,9,5/2/2018,8
20180203,322,8,5/3/2018,6
20180204,783,2,5/3/2018,3
20180205,741,17,5/4/2018,4
20180206,135,6,5/5/2018,8.5
20180207,687,13,5/5/2018,3
20180208,635,24,5/6/2018,1.5
20180209,202,6,5/6/2018,2.5
20180210,625,30,5/7/2018,4.5
20180211,779,33,5/8/2018,8
20180212,627,31,5/8/2018,8
20180213,652,32,5/9/2018,8.5
20180214,687,20,5/9/2018,8
20180215,779,17,5/10/2018,3.5
20180216,201,13,5/11/2018,0.5
20180217,620,22,5/11/2018,9.5
20180218,625,30,5/12/2018,9.5
20180219,779,20,5/12/2018,3.5
20180220,742,28,5/13/2018,3
20180221,322,31,5/14/2018,8
20180222,163,19,5/14/2018,9.5
20180223,750,9,5/15/2018,5
20180224,646,22,5/15/2018,8
20180225,779,7,5/16/2018,8
20180226,646,20,5/17/2018,3
20180227,741,16,5/17/2018,8
20180228,742,31,5/18/2018,4
20180229,107,13,5/18/2018,0.5
20180230,515,23,5/19/2018,10
20180231,650,9,5/20/2018,5.5
20180232,646,21,5/20/2018,2.5
20180233,163,1,5/21/2018,9.5
20180234,136,33,5/21/2018,3
20180235,741,12,5/22/2018,7
20180236,322,9,5/23/2018,5.5
20180237,750,18,5/23/2018,1.5
20180238,515,33,5/24/2018,2
20180239,515,25,5/24/2018,8
20180240,726,11,5/25/2018,9.5
20180241,742,30,5/26/2018,4
20180242,687,17,5/26/2018,7
20180243,135,6,5/27/2018,5
20180244,515,10,5/27/2018,9.5
20180245,620,14,5/28/2018,0.5
20180246,783,22,5/29/2018,5
20180247,742,24,5/29/2018,1.5
20180248,165,9,5/30/2018,4
20180249,726,29,5/30/2018,10
20180250,741,36,5/31/2018,2
